Matéria,Código,N_o,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Qtde Vagas Disponíveis,Local
PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,FGA0100,02,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),3M5 3T1,24,6,18,FCTE - LAB NEI 1
TEORIA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,FGA0101,01,2025.1,MARCUS VINICIUS BATISTUTA (60h),35T45,45,21,24,FCTE - I8
SINAIS E SISTEMAS PARA ENGENHARIA,FGA0102,01,2025.1,LUIS FILOMENO DE JESUS FERNANDES (90h),356T23,35,15,20,FCTE - I8/I8/I6
SINAIS E SISTEMAS PARA ENGENHARIA,FGA0102,02,2025.1,LUCIANO EMIDIO NEVES DA FONSECA (90h),246M12,35,35,0,FCTE - LAB SS
QUÍMICA ORGÂNICA APLICADA À ENGENHARIA,FGA0104,01,2025.1,ROSEANY DE VASCONCELOS VIEIRA LOPES (60h),24M34,45,26,19,FCTE - S5 / I1
TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,FGA0105,01,2025.1,LUI TXAI CALVOSO HABL (60h),24M34,30,11,19,FCTE - CONTEINER 04
TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,FGA0105,02,2025.1,ARTUR ELIAS DE MORAIS BERTOLDI (60h),35T45,40,28,12,FCTE - S7
TÓPICOS ESPECIAIS 3 EM ENGENHARIA AEROESPACIAL,FGA0106,01,2025.1,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU (60h),35M34,45,18,27,FCTE - I6
TÓPICOS ESPECIAIS 3 EM ENGENHARIA AEROESPACIAL,FGA0106,02,2025.1,ARTUR ELIAS DE MORAIS BERTOLDI (60h),35T6 35N1,45,10,35,FCTE - I1
LABORATÓRIO DE ONDULATÓRIA E FÍSICA TÉRMICA PARA A ENGENHARIA,FGA0107,01,2025.1,EBERTH DE ALMEIDA CORREA (30h),3M34,24,2,22,FCTE - LAB OND
MATEMÁTICA DISCRETA 2,FGA0108,02,2025.1,LINDOMAR BOMFIM DE CARVALHO DE JESUS (60h),35M34,60,18,42,FCTE - S7
MATEMÁTICA DISCRETA 2,FGA0108,03,2025.1,CRISTIANE LOESCH DE SOUZA COSTA (60h),24M5 24T1,100,106,-6,FCTE - S9
FUNDAMENTOS DE SISTEMAS EMBARCADOS,FGA0109,01,2025.1,RENATO CORAL SAMPAIO (60h),35T23,80,80,0,FCTE - MOCAP
TEORIA DE ELETROMAGNETISMO,FGA0119,01,2025.1,ANDRE LUIZ ALMEIDA PENNA (60h),24T23,45,23,22,FCTE - S8 / I1
TEORIA DE ELETROMAGNETISMO,FGA0119,02,2025.1,ANDRE LUIZ ALMEIDA PENNA (60h),46M12,45,25,20,FCTE - S8
PRÁTICA DE ELETROMAGNETISMO,FGA0120,01,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),6T23,50,19,31,FCTE - MOCAP
